# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
264    308   199 0.67   YES   107 0.525    5.0     8.6   False      526  -70.2     656
265    271    53 0.99   YES   143 0.725    6.0     8.1   False      667  -99.2     752
266    297   359 1.31   YES   308 0.925   25.0     9.7   False      532   -1.1     428
267    354   107 1.16   YES    30 0.950   16.0    11.3   False      449   64.0     376
268    397   253 1.32    no     0     -    0.0    36.5   False      398   75.2     370
269    352   354 0.62   YES    50 0.950   11.0    11.3   False      502   21.6     403
270    292     3 0.70   YES    85 0.775   11.0     9.5   False      501   21.3     403
271    270   315 0.73   YES   228 0.400   21.0     8.6   False      460  -61.0     626
272    378   155 1.24   YES    70 0.700    6.0    11.0   False      635  -88.8     718
273    315   111 0.72   YES    36 0.850    6.0     9.9   False      414   61.6     377
274    332    24 0.75   YES    96 0.875   12.0    11.4   False      446   19.8     404
275    368    86 1.24   YES    52 0.950   15.0    11.6   False      617  -10.0     457
276    300   208 0.85   YES    40 0.825    5.0    10.1   False      406   61.1     377
277    402     7 0.86   YES    18 1.000    4.0    12.1   False      624  -35.3     541
278    474    28 1.02    no     0     -    0.0   113.7   False      387   67.8     374
279    344   231 0.89   YES    51 0.800    8.0    10.7   False      447  -32.3     531
280    390     6 1.00   YES    49 0.925   18.0    12.0   False      620  -31.9     530
281    292   277 0.86   YES    70 0.775    7.0     9.3   False      427   46.4     386
282    462   268 1.03    no     0     -    0.0    98.0   False      410   64.7     375
283    319    48 0.65   YES    46 0.775    6.0    10.3   False      484  -30.5     525
284    314   208 1.06   YES    30 1.000    7.0    11.0   False      473   85.0     365
285    287   353 0.68   YES    58 0.975    6.0     9.7   False      561    2.0     421
286    264   262 1.32   YES   289 0.425   15.0     7.5   False      555  -96.1     742
287    330   356 0.92   YES    48 0.850    9.0     9.9   False      396   32.5     395
288    261    75 1.08   YES   163 0.575   25.0     8.4   False      560  -58.0     616
289    295   294 0.97   YES   314 0.250   13.0     8.5   False      575 -109.4     786
290    286   306 1.25   YES   106 0.850   14.0     9.3   False      437   71.5     372
